id,english,japanese,grade
1096,venture,【名】冒険（的事業） 【他】思い切って...する（to do） 【自】（危険を冒して）行く,6
1097,expedition,【名】遠征；探検隊；小旅行,6
1098,strategy,【名】戦略；方策,6
1099,survey,【名】調査；外観 【他】を調査する；を概説する,5
1100,profile,【他】の概略を示す 【名】輪郭；横顔；プロフィール,4
1101,board,【名】板；委員会 【他】に搭乗する,3
1102,sail,【自】航行する 【名】帆；航海,3
1103,electronic,【形】電子（工学）の,6
1104,automatic,【形】自動の；無意識的な,4
1105,digital,【形】デジタル（式）の,4
1106,opportunity,"【名】機会（of...ing, to do）（≒chance, occasion）",4
1107,occasion,【名】機会；（特別な）行事；場合,4
1108,chance,【名】機会；偶然；見込み（of） 【自】たまたま...する（to do）,3
1109,career,【名】職業（≒occupation）；経歴,4
1110,sale,【名】販売；【複】売上高；特売,4
1111,retail,【名】小売り 【他】を小売りする,5
1112,note,【他】に言及する；に注意する；に気づく 【名】メモ；注釈；紙幣,3
1113,cash,【名】現金（硬貨(coin)と紙幣(note)）,4
1114,purse,【名】財布；ハンドバック,4
1115,wallet,【名】札入れ,5
1116,communication,【名】（情報・意見などの）伝達；意思疎通；通信（網）,3
1117,chat,"【名】おしゃべり（with, about） 【自】おしゃべりする（with, to, about）",5
1118,cooperation,【名】協力,4
1119,joint,【形】共同の 【名】接合；継ぎ目；関節 【他】を接合する,4
1120,rather,【副】むしろ；かなり；やや,3
1121,billion,【名】10億,5
1122,indication,【名】兆候；指示,5
1123,engage,【他】を引きつける；を雇う；を従事させる；を婚約させる 【自】従事する（in）,4
1124,contract,【他】を契約する；（病気）にかかる；を縮める 【名】契約（書）（with）,5
1125,promise,【自】【他】約束する 【名】約束；見込み,3
1126,frontier,【名】未開拓分野；最先端；国境；辺境,5
1127,border,【名】境界；国境,3
1128,boundary,【名】境界（線）；（通例【複】）限界,6
1129,transfer,【他】を移動させる；を転勤させる 【自】乗り換える；転任する 【名】移転,4
1130,transplant,【他】を移動させる；（臓器など）を移植する 【名】移植（手術）,6
1131,fascinate,【他】を魅了する,6
1132,innovative,【形】革新的な,6
1133,conclude,【他】と結論づける；を終える 【自】終える,5
1134,uniform,【形】同一の；均等の 【名】制服,3
1135,union,【名】連合；組合,4
1136,unit,【名】１個；１人；（構成などの）単位,5
1137,bilingual,【形】【名】２か国語を話す（人）,6
1138,triangle,【名】三角形,3
1139,deliberately,【副】故意に,5
1140,aspect,【名】側面；局面；観点,4
1141,phase,【名】（問題の）側面；（変化・発達の）段階；（月の）相,6
1142,dimension,【名】局面；次元；（通例【複】）寸法；（通例【複】）（問題などの）重要性,5
1143,truth,【名】真実；事実,2
1144,genuine,【形】本物の；心からの,5
1145,fiction,【名】作り話；小説（≒novel）,3
1146,myth,【名】作り話；神話；誤った考え,6
1147,deceive,【他】をだます（≒take in）,4
1148,cheat,【他】をだます 【自】いかさま〔カンニング〕する,4
1149,pretend,【自】【他】ふりをする；装う,4
1150,intend,【他】～するつもりだ（to do）,3
1151,information,【名】情報；案内（所）,2
1152,warning,【名】警告,2
1153,impression,【名】印象；感動,3
1154,acquaintance,【名】知人；知識,4
1155,dollar,【名】ドル；１ドル紙幣,2
1156,fantastic,【形】すてきな；途方もない；架空の,3
1157,illusion,【名】幻想；錯覚,4
1158,fairy,【名】妖精,4
1159,lovely,【形】すてきな；美しい,3
1160,grand,【形】壮大な；偉大な,4
1161,ugly,【形】醜い；不快な,3
1162,awful,【形】（光景などが）恐ろしい；ひどい,3
1163,terrible,【形】（状況などが）ひどい；恐ろしい,3
1164,badly,【副】まずく；とても（欲しい）；ひどく,4
1165,store,【名】店 【他】を蓄える,1
1166,grocery,【名】日用雑貨・食料品店（≒grocery store）；日用雑貨〔食料〕品,4
1167,purchase,【他】（大きな物・高額な物）を買う 【名】購入（品）,4
1168,lend,【他】を貸す / lent>lent,2
1169,rent,【他】を賃貸〔借〕する 【名】賃貸〔借〕料,2
1170,specific,【形】特定の；明確な,4
1171,clearly,【副】明らかに；はっきりと,3
1172,obviously,【副】明らかに；当然ながら,4
1173,plain,【形】明白な；易しい；地味な 【名】平原,2
1174,vague,【形】（考えなどが）あいまいな；（表情などが）ぼんやりとした,4
1175,likely,【形】ありそうな（⇔unlikely） 【副】たぶん,4
1176,candidate,【名】候補（者）；志願者,4
1177,campaign,【名】（政治的・社会的）運動,5
1178,trick,【他】をだます 【名】計略；いたずら；秘訣；芸,4
1179,vote,【名】【自】投票（する）,5
1180,govern,【他】を統治する；を決定する,6
1181,administration,【名】政権；行政；管理,6
1182,minister,【名】大臣；牧師,5
1183,priest,【名】聖職者；僧侶,6
1184,gain,【他】を手に入れる（≒obtain）；（体重・速度）を増す 【名】利益（≒profit）；増大 【自】よくなる；増す,4
1185,office,【名】地位；職場；事務所；研究室,3
1186,workplace,【名】仕事場（≒workshop）,6
1187,workforce,【名】（通例the）総労働人口；労働力（≒labor force）,6
1188,branch,【名】支点；枝,4
1189,clerk,【名】事務員；職員（≒office worker）；店員,4
1190,election,【名】選挙；当選,6
1191,race,【名】競争；人種 【自】競争する,3
1192,rush,【自】急いでいく 【他】を急いで送る；をせきたてる 【名】勢いよく流れる〔吹く〕こと；忙しさ,4
1193,athlete,【名】運動選手；スポーツマン,4
1194,subsequent,【形】続いて起こる,6
1195,advertising,【名】宣伝〔広告〕,6
1196,commercial,【名】コマーシャル 【形】商業の,4
1197,honest,【形】正直な；率直な,2
1198,frank,【形】率直な,4
1199,ironic,【形】皮肉な,6
1200,paradox,【名】矛盾（していること）；逆説,6
1201,illegal,【形】違法の,5
1202,law,【名】法（律）；（自然界の）法則,4
1203,code,【名】規定；法典；符号；暗号,5
1204,service,【名】サービス；業務；奉仕；（バスなどの）便；公益事業,2
1205,consequently,【副】その結果（≒therefore）,6
1206,recommend,【他】を推薦する；を勧める,6
1207,counsel,【他】に助言する 【名】助言,6
1208,cure,【他】を治療する；（悪癖など）を取り除く 【名】治療,5
1209,therapy,【名】（薬物や手術によらない）治療；（複合語で）～療法,6
1210,corporation,【名】株式会社；企業；法人,6
1211,approach,【名】取り組み（方）；接近（方法） 【自】【他】近づく,4
1212,positive,【形】よい；肯定的な；積極的な；確信して,3
1213,negative,【形】悪い；否定的な；消極的な,3
1214,quick,【形】素早い,2
1215,willing,【形】…する気がある（to do）；喜んで行う（⇔reluctant）,6
1216,reluctant,【形】気の進まない（⇔ready）,6
1217,responsibility,【名】責任,5
1218,undertake,【他】を引き受ける；に着手する / undertook>undertaken,6
1219,commit,【他】（be -ed）（真剣に）関わる；（罪）を犯す,6
1220,crime,【名】犯罪,4
1221,guilty,【形】罪悪感を覚える；有罪の,5
1222,innocent,【形】無罪の；無邪気な,5
1223,position,【名】立場；状況；姿勢；位置,3
1224,pose,【他】（問題など）をもたらす 【名】【自】ポーズ（をとる）,5
1225,opinion,【名】意見,3
1226,difficulty,【名】困難（さ）,4
1227,ease,【名】容易さ；安楽さ 【他】を和らげる；を取り除く,4
1228,flexible,【形】柔軟な,5
1229,rigid,【形】堅い；厳格な,5
1230,view,"【名】見解（about, on）；眺め；視野 【他】を見る；を考える",3
1231,perspective,【名】観点；遠近法〔感〕；見通し,5
1232,landscape,【名】（一望できる陸地の）風景（画）,5
1233,scene,【名】光景；場面；現場,3
1234,arise,【自】起きる；起因する（from） / arose>arisen,6
1235,derive,【自】由来する（from） 【他】を得る,6
1236,stem,【自】生じる；由来する（from） 【名】（草木の）茎〔幹〕,2
1237,lead,【自】（道などが）通じる（to） 【他】を導く；を率いる；（生活）を送る 【名】首位；先導 / led>led,4
1238,guide,【他】【自】案内する；指導する 【名】案内人〔書〕；指導者；指針,3
1239,delay,【名】遅延；延期 【他】を遅らせる；を延期する 【自】のろのろする,6
1240,postpone,【他】を延期する（≒put off）,5
1241,prolong,【他】を延長する,6
1242,highlight,【他】を強調する；に光を当てる 【名】（事件・催し物などの）ハイライト,5
1243,shadow,【名】影,3
1244,shade,【名】（物）陰；色合い,2
1245,clever,【形】利口な；器用な,3
1246,decade,【名】１０年間,5
1247,millenium,【名】千年（祭）,6
1248,railroad,【名】鉄道（線路）,4
1249,railway,【名】鉄道,4
1250,vital,【形】不可欠な；致命的な；生き生きした,5
1251,center,【名】中心；中央；（施設としての）センター,1
1252,core,【名】（the）中心；確信；（果物の）芯,4
1253,reverse,【他】を逆にする；を一変させる 【名】（the）逆 【形】逆の,4
1254,automobile,【名】自動車,4
1255,wheel,【名】（通例the）（自動車の）ハンドル；車輪,4
1256,countryside,【名】（通例the）地方；田舎；田園地帯,4
1257,rural,【形】田舎の,4
1258,urban,【形】都市〔会〕の,4
1259,downtown,【名】町の中心街 【副】町の中心街へ,4
1260,suburb,【名】（the【複】）郊外,4
1261,largely,【副】ほとんど：主として（≒for the most part）,4
1262,mainly,【副】主として,4
1263,sweep,【他】【名】一掃（する）；掃除（する） 【自】殺到する / swept>swept,4
1264,miss,【他】を逃がす；がいなくて寂しく思う 【名】失敗,2
1265,loss,【名】紛失；損害；死；敗北,3
1266,remain,【自】依然…のままである；…にとどまる 【名】残り；遺跡,2
1267,stick,【自】固執する；くっつく；刺さる 【他】（be+過去分詞で）行き詰まる；を貼り付ける；を刺す 【名】棒きれ / stuck>stuck,4
1268,archaeologist,【名】考古学者,6
1269,desire,【名】欲望；要望 【他】（強く）を望む,3
1270,ambition,【名】熱望；野心,4
1271,appetite,【名】欲求（for）；食欲,4
1272,hunger,【名】渇望；飢え,2
1273,employment,【名】雇用,4
1274,employee,【名】従業員,4
1275,hire,【他】を雇う,4
1276,dismiss,【他】を解雇する（≒fire）,4
1277,retire,【自】退職〔引退〕する（from）,4
1278,able,【形】（be ~ to do）…することができる；有能な,2
1279,capable,【形】…できる；有能な,5
1280,disability,【名】障がい,6
1281,deaf,【形】耳が聞こえない,4
1282,enable,【他】…できるようにする,4
1283,fulfill,【他】（要求など）を満たす；（任務など）を果たす,4
1284,economic,【形】経済（学）の,4
1285,financial,【形】財政の,4
1286,bank,【名】銀行；土手,1
1287,luxury,【名】ぜいたく（品）,4
1288,commodity,【名】日用品；商品,6
1289,goods,【名】商品,4
1290,appreciate,【他】の真価を認める；（事・物）に感謝する；を正しく理解する；を鑑賞する,4
1291,regular,【形】定期的な；規則的な；通常の,2
1292,customer,【名】顧客,3
1293,accustomed,【形】慣れている（to）,4
1294,hospitality,【名】もてなし,6
1295,warmth,【名】温かさ,4
1296,deny,【他】を否定する；を拒む,4
1297,contradiction,【名】否定；反対の主張；矛盾,6
1298,stare,【自】【名】じっと見る（こと）,4
1299,gaze,【自】【名】見つめる（こと）,4
1300,glance,【自】【名】ちらりと見る（こと）,4
1301,proof,【名】証拠（≒evidence）,3
1302,whole,【形】（the～）全体の；まるごとの 【名】（the ~ of ...）全体,2
1303,check,【名】クローク〔預かり所〕；検査；点検；小切手 【他】を調べる；を阻止する,3
1304,instinct,【名】本能,4
1305,follow,【他】（指示など）に従う；の後について行く；の後に起こる；の後を継ぐ,3
1306,precede,【他】より先に起こる,6
1307,display,【他】（感情など）を表す；を展示する 【名】展示（品）；表現,4
1308,exhibit,【他】を展示する；（感情や能力）を示す 【名】展示（品）,5
1309,gallery,【名】画廊；美術館；バルコニー；（ゴルフなどの）観客,4
1310,appropriate,【形】適切な,4
1311,judge,【他】を判断する；を裁く 【名】裁判官；審判,3
1312,ridiculous,【形】ばかげた,5
1313,absurd,【形】ばかげた,6
1314,silly,【形】愚かな,2
1315,stupid,【形】ばかな,2
1316,fool,【名】愚か者 【他】をばかにする,2
1317,evil,【名】害悪：邪悪 【形】邪悪な,3
1318,vice,【名】（道徳上の）悪（徳）,6
1319,moral,【名】【複】道徳規範 【形】道徳的な,3
1320,ethic,【名】道徳；規範,6
1321,stock,【名】株式；蓄え；在庫（品） 【他】を貯蔵している,4
1322,reserve,【名】蓄え；慎み；（動物などの）保護区 【他】を取っておく；を予約する,3
1323,exist,【自】存在する；生存すえう,3
1324,fashion,【名】流行；やり方；流儀,5
1325,boom,【名】大流行；にわか景気,6
1326,management,【名】経営（者）；取り扱い,5
1327,boss,【名】社長；雇用主；上司,4
1328,executive,【名】（経営）幹部 【形】執行権のある；行政の,6
1329,president,【名】《米》社長；会長；《米》学長；大統領,5
1330,hobby,【名】趣味,3
1331,justice,【名】正義；構成；裁判（官）,5
1332,court,【名】法廷；裁判所〔官〕,4
1333,trial,【名】裁判；試み；試練,6
1334,prison,【名】刑務所；拘置所,4
1335,psychologist,【名】心理学者,6
1336,philosopher,【名】哲学者,6
1337,influence,【他】に影響を及ぼす 【名】影響（on）；影響力（over）,3
1338,peer,【名】同僚；同等の人 【自】（見にくいので）凝視する（at）,5
1339,pressure,【名】圧力；重圧,3
1340,suppress,【他】を鎮圧する；（感情など）を抑える,6
1341,depress,【他】を落胆させる,6
1342,recession,【名】（一時的な）不況,6
1343,participant,【名】参加者,4
1344,correct,【形】正しい；適切な 【他】を訂正する,2
1345,revise,【他】を変更する；を改訂する；を復習する,5
1346,editor,【名】編集者,5
1347,task,【名】課題；（やるべき）仕事；任務,4
1348,duty,【名】任務；義務；（しばしば【複】）関税,3
1349,assignment,【名】任務；義務；割り当て,5
1350,challenge,【名】挑戦；難問 【他】（人）に挑戦する；（考えなど）に異議を唱える,4
1351,obligation,【名】義務；恩義,5
1352,match,【他】（物が）（物）と調和する；に匹敵する 【名】試合；好敵手；匹敵するもの,2
1353,suppose,【他】と考える（that）,4
1354,wild,【名】（the）荒野；大自然 【形】野生の；荒涼とした；乱暴な,2
1355,wildlife,【名】（集合的に）野生生物,6
1356,survival,【名】生き残ること,5
1357,flee,【自】【他】逃げる / fled>fled,5
1358,confront,【他】に立ち向かう；（危険などが）に立ちはだかる,5
1359,sight,【名】見ること；光景；視界；視力；【複】名所,3
1360,insight,【名】洞察（力）；見識,6
1361,differently,【副】異なって,6
1362,otherwise,【副】別なふうに；そうでなければ；他の点では,6
1363,gene,【名】遺伝子,6
1364,inherent,【形】固有の（in）,6
1365,descend,【他】（be -ed）由来する；を降りる 【自】降りる；（財産・性質・権利などが）伝わる,6
1366,offspring,【名】（単複両扱い）（人などの）子（孫）,5
1367,directly,【副】直接に,4
1368,copy,【他】【自】模倣する；複製する 【名】写し；（同じ本・新聞などの）１部,3
1369,pattern,【名】様式；模様,5
1370,model,【名】模型；手本；モデル,3
1371,root,【他】（be -ed）定着して；を根付かせる 【名】根；根拠；源,3
1372,trunk,【名】（木の）幹；（自動車の）トランク,4
1373,wood,【名】木材；（しばしば【複】）森；薪,2
1374,timber,【名】（建築用の）木材,6
1375,log,【名】丸太 【自】【他】（交信記録などに）記録する,4
1376,local,【形】地元の；ある地方（特有）の,3
1377,native,【形】出生地の；土着の；固有の 【名】～生まれの人,3
1378,comedy,【名】喜劇,4
1379,tragedy,【名】悲劇,4
1380,drama,【名】ドラマ；演劇,3
1381,theater,【名】劇場；映画館,4
1382,insert,【他】を挿入する 【名】挿入物；折り込み広告,6
1383,penetrate,【自】【他】通る；突き抜ける；理解する〔させる〕,6
1384,laugh,【自】笑う（at）,2
1385,moment,【名】（特定の）時；瞬間,4
1386,encourage,【他】を（…するように）促す；を奨励する；を励ます,4
1387,courage,【名】勇気,5
1388,brave,【形】勇敢な,4
1389,bold,【形】大胆な；際立った,6
1390,cheer,【他】を励ます 【名】声援,4
1391,audience,【名】（テレビの）視聴者；聴衆,3
1392,guest,【名】招待客；宿泊客,3
1393,passenger,【名】乗客,3
1394,client,【名】（弁護士などへの）依頼人；（サービス業の）取引先,5
1395,pop,【自】飛び出る 【他】をポンと置く〔外す〕 【形】ポップ音楽の；ポピュラーな / popped>popped>popping,3
1396,chip,【名】（果物・野菜などの）薄切り；（木などの）かけら；（半導体の）チップ,4
1397,sort,【名】種類；性質 【他】を分類する,3
1398,species,【名】（共通の特性を持った）種（類）,6
1399,detail,【名】細部；【複】詳細,4
1400,collect,【他】を集める 【自】（人が）集まる,3
1401,gather,【自】【他】集まる〔集める〕,3
1402,assemble,【自】集まる（in） 【他】を集める；（家具など）を組み立てる,6
1403,session,【名】集まり；開会；授業（期間）,5
1404,conference,【名】（大規模で公式の）会議；（個別の）協議,4
1405,habit,【名】（個人の無意識的な）習慣；癖,3
1406,addiction,【名】中毒；熱中（to）,6
1407,habitat,【名】（動物の）生息地,6
1408,resident,【名】住民；滞在者,4
1409,whereas,【接】（その）一方で；…だけれども（≒while）,6
1410,sacred,【形】神聖な；とても重要な,6
1411,ideal,【形】理想的な；観念的な 【名】理想（⇔reality）,4
1412,romantic,【形】空想的な；恋愛の；ロマン派の,5
1413,fit,【自】合う 【他】（大きさなどが）に合う；を取り付ける 【形】適した；体調が良い 【名】発作,2
1414,swallow,【他】【自】飲み込む 【名】飲み込むこと；ツバメ,5
1415,pound,【名】ポンド（重量の単位；イギリスの通貨単位）,4
1416,pond,【名】池,4
1417,business,【名】商売；仕事；関わりのあること,3
1418,prize,【名】賞（品）；貴重なもの,4
1419,reward,【名】報酬；褒美（≒prize） 【他】に報いる,4
1420,award,【名】賞（金） 【他】（審査して）を授与する,5
1421,favorite,【形】【名】お気に入りの（もの）,2
1422,beg,【自】【他】懇願する,4
1423,brush,【名】ブラシ 【自】【他】ブラシをかける,3
1424,polish,【他】（物・技量）を磨く,4
1425,shine,【他】を磨く；を照らす 【自】輝く 【名】光（沢）,3
1426,apply,【他】（薬・化粧品など）を塗る；を適用する；（心など）を向ける 【自】当てはまる（to）；申し込む（for）,4
1427,affect,【他】に影響する；を感動させる,4
1428,medical,【形】医学の；医療の,4
1429,clinical,【形】臨床の；病院の,6
1430,clone,【他】（クローンとして）を作る 【名】クローン；まったく同じような人〔もの〕,6
1431,relate,【他】を関連付ける（to）；を話す 【自】関係がある（to）,4
1432,grandparent,【名】祖父〔母〕,4
1433,cousin,【名】いとこ,4
1434,twin,【名】双子の一方；【複】双子 【形】双子の；対をなす,4
1435,relevant,【形】関連がある（to）；適切な,6
1436,ordinary,【形】普通の；ありふれた,3
1437,odd,【形】奇妙な；臨時の（≒occasional）；奇数の（⇔even 偶数の）,4
1438,opponent,【名】反対者；（試合の）相手,4
1439,object,【自】反対する（to） 【名】物；対象；目的,4
1440,insist,【他】【自】主張する；要求する,4
1441,assert,【他】（正当性など）を断言〔主張〕する,6
1442,destroy,【他】を破壊する（⇔construct）,4
1443,ruin,【他】を破滅させる 【名】破滅；廃墟；【複】遺跡,4
1444,spoil,【他】を台なしにする；を甘やかす,4
1445,extinct,【形】絶滅した,6
1446,tear,【他】を裂く；を引きはがす / tore>torn,3
1447,stage,【名】（発達の）段階；舞台,4
1448,reliable,【形】信頼できる,5
1449,low,【形】低い；少ない 【副】低く；少なく,3
1450,fear,【他】【自】恐れる；気づかう 【名】恐怖；心配,3
1451,frighten,【他】を怖がらせる,3
1452,scare,【他】をおびえさせる,3
1453,attempt,【名】試み；攻撃 【他】を試みる；…しようとする（to do）,4
1454,superior,【形】優れた；上部（位）の 【名】上司,5
1455,inferior,【形】劣った,5
1456,fever,【名】熱；熱狂,4
1457,headache,【名】頭痛（の種）,4
1458,stroke,【名】（脳）卒中；一撃 【他】をなでる,4
1459,flu,【名】（通例the）インフルエンザ（influenzaの略）,4
1460,obesity,【名】（病的）肥満,6
1461,overweight,【形】太りすぎの,5
1462,fat,【形】太っている 【名】脂肪（分）,3
1463,lean,【形】（筋肉質で）やせた 【自】傾く；上体を曲げる,5
1464,thin,【形】薄い；細い；（病気などで）やせた,2
1465,thick,【形】（分）厚い；太い；（液体・気体が）濃い,2
1466,support,【他】を支持する；を支える 【名】支持；支え,2
1467,argue,【他】【自】主張する（≒insist）；議論する（≒discuss）,5
1468,patient,【名】患者 【形】忍耐強い,4
1469,reject,【他】（申し出など）を拒絶する,3
1470,practically,【副】ほとんど（≒almost）；実際的に；事実上,6
1471,receive,【他】を受け取る；を被る,2
1472,inherit,【自】【他】受け継ぐ；相続する,4
1473,ban,【他】（公式に）を禁止する 【名】禁止（令）,4
1474,limit,【他】を制限する 【名】制限（on）；限界,3
1475,confine,【他】を制限する；を閉じこめる,6
1476,restrict,【他】を制限する,6
1477,promote,【他】を促進する；を昇進させる,5
1478,boost,【他】【名】を高める（こと）,5
1479,foster,【他】を促進する；（他人の子供）を養育する 【形】里親〔里子〕の,5
1480,maintain,【他】を主張する（≒insist）；を維持する,5
1481,retain,【他】を保つ,5
1482,sustain,【他】を持続させる；（人）を支える,5
1483,freedom,【名】自由,2
1484,liberty,【名】（拘束などのない）自由,4
1485,generous,【形】寛大な；気前の良い,4
1486,seek,"【他】を探し求める（≒look for, search for） / sought>sought",3
1487,consult,【他】（辞書など）を調べる；（専門家）に相談する（≒seek advice from ～）,4
1488,unless,【接】…でない限り,4
1489,harmful,【形】害のある,5
1490,issue,【名】問題（点）；発行（物） 【名】（声明・本など）を出す,5
1491,article,【名】記事；品物；条項,5
1492,item,【名】（記事などの）１項目；項目；品目,4
1493,organization,【名】組織（化）；団体,4
1494,preparation,【名】準備,4
1495,arrangement,【名】手配；配置；取り決め,5
1496,smart,【形】頭の良い；洗練された,4
1497,wise,【形】（判断・行為などが）賢い,4
1498,crop,【名】（穀物などの）作物；収穫高,4
1499,harvest,【名】収穫（物；期） 【他】を収穫する,5
1500,grain,【名】穀物；わずか,4
1501,wheat,【名】小麦,3
1502,provide,"【他】を提供する 【自】養う（for）；備える（for, against）",4
1503,supply,【名】供給（量）（⇔demand）；必需品 【他】を供給する（≒provide）,5
1504,equipment,【名】装備；備品,6
1505,serious,【形】重大な；まじめな,3
1506,grave,【形】重大な；真剣な 【名】墓穴,6
1507,disease,【名】病気（≒illness）,4
1508,cancer,【名】がん,6
1509,policy,【名】政策；信条,6
1510,age,【名】年齢；年代；老年；（歴史上の）時代 【自】年を取る,2
1511,era,【名】（政治・歴史上重要な）時代,5
1512,diet,【名】食事；ダイエット；（the D-）国会 【自】ダイエットをする,6
1513,parliament,【名】議会；《英》国会,6
1514,shape,【名】状態（≒condition）；（体）形,3
1515,global,【形】世界的な；全体的な,5
1516,worldwide,【形】世界的な 【副】世界中で〔に〕,6
1517,nutrition,【名】栄養（物；摂取）,6
1518,protein,【名】タンパク質,5
1519,fundamental,【形】基本的な；必須の（to）（≒basic） 【名】【複】基本,5
1520,radical,【形】根本的な；急進的な,6
1521,access,【名】利用権（to）；接近 【他】にアクセスする,5
1522,case,【名】症例；実例；場合；事件；主張；論拠；（the）事実；箱,4
1523,deal,【名】程度；量；取引 【自】扱う；取引する（with）dealt>dealt,4
1524,negotiate,【自】交渉する 【他】を交渉して取り決める,6
1525,cope,【自】うまく処理する（with）,6
1526,bear,【他】に耐える；を支える；（責任）を持つ；（子）を産む 【名】クマ / bore>born(e),4
1527,endure,【他】に耐える,6
1528,compromise,【名】【自】妥協（する）,6
1529,handful,【名】（a ~ of ...）１つかみの量の…,4
1530,nobody,【代】誰も…ない 【名】無名の人,3
1531,impact,【名】影響；衝撃；衝突,6
1532,iron,【名】鉄,3
1533,bit,【名】（a ～）少し,3
1534,tiny,【形】とても小さい；ごくわずかの,4
1535,somewhat,【副】いくぶん（≒rather）,5
1536,meal,【名】食事,3
1537,consume,【他】（エネルギー・時間など）を消費する（⇔produce）,6
1538,somebody,【代】誰か 【名】名のある人,3
1539,benefit,"【名】恩恵；利益（≒advantage, profit） 【自】利益を得る（≒profit） 【他】に利益を与える",4
1540,well-being,【名】福利；健康；幸福,6
1541,welfare,【名】福祉（事業）；繁栄；幸福,6
1542,intense,【形】（熱などが）強烈な；（感情・行動などが）激しい,5
1543,assistant,【名】助手,4
1544,aid,【名】支援；救援（物資） 【他】を援助する 【自】助けとなる,4
1545,professor,【名】教授,6
1546,specialist,【名】専門家,6
1547,marketing,【名】マーケティング,6
1548,finding,【名】発見（物）；報告；判決（≒judgment）,6
1549,colleague,【名】同僚,6
1550,fellow,【名】仲間；やつ（≒guy）,4
1551,enemy,【名】敵（軍）,2
1552,guy,【名】やつ；男（≒fellow）,4
1553,flood,【他】（be -ed with）（物などで場所などが）あふれる；を水浸しにする 【名】洪水,3
1554,pour,【他】を注ぐ 【自】（雨が）どしゃ降りにふる；流れ出る,4
1555,flow,【自】（川や情報などが）流れる 【名】流れ,4
1556,slide,【自】【他】【名】すべる〔すべらせる〕（こと）,4
1557,stream,【名】小川；流れ,4
1558,canal,【名】運河,4
1559,glacier,【名】氷河,6
1560,fountain,【名】噴水；泉,4
1561,piece,【名】（a ～ of ...）１つの…；部品,2
1562,portion,【名】部分；分け前,4
1563,manufacturer,【名】製造業者〔メーカー〕,6
1564,company,【名】会社；同席,3
1565,mate,【名】仲間；つれあい（＝妻・夫） 【自】（動物が）つがう,6
1566,accompany,【他】に同行する；に付随して起こる,5
1567,enterprise,【名】企業；事業；冒険心,6
1568,brand,【名】ブランド；銘柄,5
1569,emerge,【自】（事実が）明らかになる；現れる；（困難から）抜け出す（from）,5
1570,knowledge,【名】知識；認識,2
1571,examine,【他】を調べる；を診察する,4
1572,scan,【自】【他】細かく調べる；ざっと見る；（書類等を）スキャンする；X線〔超音波〕検査をする 【名】綿密な検査；X線〔超音波〕検査,6
1573,despite,【前】にもかかわらず（≒in spite of ～）,3
1574,importance,【名】重要性,4
1575,significance,【名】意義；重要性,6
1576,quality,【名】質（⇔quantity）；特注,3
1577,title,【名】肩書；タイトル；作品,2
1578,lesson,【名】教訓；レッスン；授業,2
1579,lecture,【名】講義；講演 【自】【他】講義〔講演〕する,5
1580,essay,【名】（学生に課される）レポート；エッセイ,5
1581,preserve,【他】を維持する；を保存する,4
1582,conservation,【名】（資源）保護,6
1583,according,【副】一致して；したがって,6
1584,committee,【名】（集合的に）委員会；（全）委員,6
1585,average,【名】平均 【形】平均的な,3
1586,maximum,【名】【形】最大限（の）,4
1587,minimum,【名】【形】最低限（の）,4
1588,daily,【形】【副】日常（の）；毎日（の）,3
1589,annual,【形】年１回の；１年間の,4
1590,last,【形】（the）最後の；この前の 【自】続く；長持ちする,2
1591,persist,【自】いつまでも続く；固執する（in）,6
1592,steady,【形】一定の；安定した,4
1593,stable,【形】安定した,4
1594,decline,【名】減少；衰退；低下 【自】減少する；衰退する 【他】を断る,4
1595,option,【名】選択肢；選択（権の自由）,5
1596,adopt,【他】を採用する；を養子にする,4
1597,kid,【名】子供 【自】冗談を言う,2
1598,kindergarten,【名】幼稚園,1
1599,schedule,【名】スケジュール 【他】を予定する,3
1600,routine,【名】日課 【形】型通りの,4
1601,scheme,【名】計画；悪だくみ 【自】【他】たくらむ,6
1602,teenager,【名】１０代の若者（通例13～19歳）,3
1603,single,"【形】（最上級を強調）まさに；ただ１つの；（each, everyを強調）個々の；独身の；１人用の",3
1604,sole,【形】唯一の；単独の,5
1605,mere,【形】単なる；ほんの,5
1606,factor,【名】要因；因子,6
1607,element,【名】要素；元素；（the【複】）基礎；（the【複】）自然の力,5
1608,predict,【他】を予言〔予測〕する,5
1609,forecast,【他】（天気）を予報する；を予想する 【名】予報〔予想〕,6
1610,achievement,【名】学業（成績）；業績；達成,5
1611,accomplish,【他】を成し遂げる,6
1612,attain,【他】を成し遂げる；に達する,6
1613,score,【名】（試合・試験の）得点；楽譜 【自】【他】得点する,3
1614,far,【副】大いに；（時間・空間的に）遠くへ 【形】遠い,1
1615,worship,【自】礼拝する 【他】を崇拝する 【名】崇拝；礼拝,4
1616,art,【名】芸術（作品）；美術；技術,3
1617,nearly,【副】ほとんど,4
1618,adolescent,【名】青年 【形】青年期の,5
1619,cite,【他】を引用する；（例などとして）を挙げる（as）,5
1620,quote,【他】を引用する,4
1621,poll,【名】世論調査；（the）投票 【自】【他】投票する,6
1622,pole,【名】棒；（地球・天体の）極,4
1623,rate,【他】を評価する 【名】割合（≒ratio）；速度；料金,4
1624,pace,【名】歩調；進度,5
1625,enough,【形】十分な 【副】十分に 【代】必要なだけの数量,1
